,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ANDHRA PRADESH,Chittoor,,1068,905,0,906,3079,597372,0,600451,85448,685899,321,53331,0,53652,,,,,39,432,0,471,141,11067,0,11208,72,7522,,7593,234,9869,,10103,,,,,,,,,806,82220,0,83026,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,806,82220,0,83026,40,4111,0,4151,766,78109,0,78875,39,4248,,4287,4,1409,,1413,442,37363,,37805,485,43020,,43505,63,55,,55,53,6158,0,6211,274,35372,0,35646,,,,,,,,,,,,,,3225231,0,3304106,0,0,,0,,0,,,,,,,,3304106,0
10,ANDHRA PRADESH,East Godavari,,1168,1121,0,1145,127679,126873,0,254553,3082,257635,15046,13253,0,28299,14268,,0,14268,34067,10383,0,44450,4545,2992,0,7536,10555,5056,,15611,911,1809,0,2720,,,,,,,,,79391,33492,0,112883,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,79391,33492,0,112883,3970,1675,0,5644,75421,31818,0,107239,942,1374,,2316,985,328,,1313,17683,14939,,32622,19610,16640,,36251,26,52,,34,1146,1666,0,2811,56168,15646,0,71815,,,,,,,,,,,,,,0,0,107239,0,0,,0,,0,,,,,,,,107239,0
11,ANDHRA PRADESH,Eluru,,1047,1112,967,1079,135041,427670,86479,649190,10632,659822,15989,41487,9781,67257,11520,,,11520,20659,12908,13275,46842,1519,8451,12,9982,1831,20097,2205,24133,2221,7441,1962,11624,,,,,,,,,53738,90384,27235,171357,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,53738,90384,27235,171357,2687,4519,1362,8568,51051,85864,25873,162789,3325,6870,0,10195,103,399,15,517,4824,32185,25,37034,8252,39454,40,47745,16,46,0,35,3819,8054,0,11873,42918,46630,25834,89549,,,,,,,,,,,,,,4299127,767183,4436043,793057,0,,0,,0,,,,,,,,4436043,793057
12,ANDHRA PRADESH,Guntur,,905,995,876,895,155475,574,86284,242333,2971,245304,14676,22,6191,20890,13416,,1064,14480,22337,0,4132,26469,1895,0,0,1895,627,0,133,760,475,0,,475,,,,,,,,,53427,22,11521,64970,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,53427,22,11521,64970,2671,1,576,3248,50755,21,10945,61721,2583,0,5,2589,230,0,0,230,7889,0,40,7929,10702,0,45,10747,21,0,0,21,3065,0,10,3065,39572,21,10895,39593,,,,,,,,,,,,,,425280,368173,476057,379118,0,,0,,0,,,,,,,,476057,379118
13,ANDHRA PRADESH,Kakinada,,1053,1016,1317,1104,169715,56262,62940,288917,13063,301980,15200,3707,5925,24832,14319,,3811,18130,57590,15166,21257,94013,2258,584,114,2955,1732,843,0,2575,1083,2010,243,3336,,,,,,,,,92181,22309,31351,145841,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,92181,22309,31351,145841,4609,1116,1568,7292,87572,21194,29783,138549,1605,298,253,2156,1800,217,2550,4568,10884,3609,1185,15677,14288,4124,3989,22401,16,19,13,17,1896,354,301,2250,73011,17082,25747,90093,,,,,,,,,,,,,,0,0,108766,29783,0,,0,,0,,,,,,,,108766,29783
14,ANDHRA PRADESH,Konaseema,,1258,0,1386,1305,132007,0,75988,207995,101,208096,19457,0,12602,32058,26537,,6482,33019,59403,0,14977,74380,1625,0,0,1625,433,0,0,433,206,,198,404,,,,,,,,,107661,0,34258,141919,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,107661,0,34258,141919,5383,0,1713,7096,102277,0,32545,134822,1310,,0,1310,50,,14,64,9393,,0,9393,10753,,14,10767,11,,0,11,1557,0,0,1557,91277,0,32531,91277,,,,,,,,,,,,,,0,0,102277,32545,0,,0,,0,,,,,,,,102277,32545
15,ANDHRA PRADESH,Krishna,,1020,0,1094,1057,193506,0,194550,388056,0,388056,28925,0,24496,53422,53809,,611,54420,59356,0,32095,91450,8032,0,6,8038,379,0,12,391,8579,0,1118,9697,,,,,,,,,159080,0,58339,217419,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,159080,0,58339,217419,7954,0,2917,10871,151126,0,55422,206548,2033,,221,2254,1035,,0,1035,45310,,402,45712,48378,,622,49000,32,,1,32,2838,0,246,2838,101943,0,54776,101943,,,,,,,,,,,,,,1050914,1220026,1202040,1275448,0,,0,,0,,,,,,,,1202040,1275448
16,ANDHRA PRADESH,Kurnool,,616,608,0,610,208257,543990,0,752247,45494,797741,11039,27696,0,38735,8628,,0,8628,6538,5235,0,11773,1091,1855,0,2946,156,1712,0,1868,742,3381,,4123,,,,,,,,,28193,39879,0,68073,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,28193,39879,0,68073,1410,1994,0,3404,26784,37885,0,64669,1631,3956,,5587,7,64,,71,5268,8807,,14075,6906,12827,,19733,26,34,,31,1854,4495,0,6349,19674,24879,0,44553,,,,,,,,,,,,,,0,0,64669,0,0,,0,,0,,,,,,,,64669,0
17,ANDHRA PRADESH,NTR,,1035,982,0,1032,289250,17069,0,306319,11805,318124,20942,1095,0,22037,14397,,,14397,20635,336,0,20971,6450,269,0,6719,2208,89,,2297,6539,344,,6883,,,,,,,,,71172,2133,0,73305,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,71172,2133,0,73305,3559,107,0,3665,67613,2026,0,69639,2351,89,,2440,1129,89,,1218,20212,894,,21105,23692,1071,,24763,35,53,,36,2459,98,0,2557,43979,959,0,44937,,,,,,,,,,,,,,0,0,69639,0,0,,0,,0,,,,,,,,69639,0
18,ANDHRA PRADESH,Nandyal,,736,694,0,716,367930,338252,0,706182,262433,968615,13044,9750,0,22795,1953,,,1953,49252,4937,0,54189,2057,1306,0,3364,10156,4406,,14562,3839,5676,,9515,,,,,,,,,80301,26076,0,106377,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,80301,26076,0,106377,4015,1304,0,5319,76285,24772,0,101058,369,137,,505,65,63,,128,6799,5360,,12159,7232,5560,,12792,9,22,,13,369,137,0,506,69054,19212,0,88266,,,,,,,,,,,,,,0,0,101058,0,0,,0,,0,,,,,,,,101058,0
19,ANDHRA PRADESH,Palnadu,,774,735,553,751,434051,180401,37205,651656,78467,730124,19439,7693,1084,28215,7303,,63,7366,53936,3643,18,57597,6182,2128,54,8364,2158,377,32,2566,8374,1274,741,10388,,,,,,,,,97391,15114,1992,114497,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,97391,15114,1992,114497,4870,756,100,5725,92521,14358,1892,108772,3520,822,179,4520,60,6,0,66,23722,11970,285,35978,27302,12798,464,40564,30,89,25,38,3916,914,199,4830,65062,5353,1418,70416,,,,,,,,,,,,,,1522220,116087,1629099,117980,0,,0,,0,,,,,,,,1629099,117980
20,ANDHRA PRADESH,Parvathipuram Manyam,,1140,1176,0,1168,63378,231504,0,294881,119995,414876,7539,25469,0,33007,745,,0,745,6339,11938,0,18277,1556,3519,0,5075,22177,7951,0,30128,1161,5509,0,6670,,,,,,,,,39516,54387,0,93903,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,39516,54387,0,93903,1976,2719,0,4695,37540,51668,0,89208,309,1458,,1767,1,12,,13,5960,14767,,20728,6270,16237,,22508,17,31,,25,531,1846,0,2377,31209,36709,0,67917,,,,,,,,,,,,,,0,0,89208,0,0,,0,,0,,,,,,,,89208,0
21,ANDHRA PRADESH,Prakasam,,789,789,828,790,280306,820238,30685,1131229,293771,1425000,17239,46828,2529,66596,955,,155,1110,2510,0,64,2574,1137,2923,74,4133,1951,6104,173,8227,4967,13209,291,18466,,,,,,,,,28758,69064,3285,101107,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,28758,69064,3285,101107,1438,3453,164,5056,27320,65610,3121,96051,1307,3451,112,4870,422,88,0,510,11364,30042,691,42096,13093,33581,803,47477,48,51,26,50,1495,3941,132,5436,16019,38706,2723,54724,,,,,,,,,,,,,,5543723,205122,5636653,208242,0,,0,,0,,,,,,,,5636653,208242
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,,1081,1018,0,1040,345599,649727,0,995326,50358,1045685,35500,56289,0,91789,11238,,,11238,45309,13473,0,58783,7284,7426,0,14710,4894,7055,2,11951,247,1633,0,1880,,,,,,,,,104472,85877,2,190351,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,104472,85877,2,190351,5224,4294,0,9518,99249,81583,2,180833,3915,1772,,5687,571,535,,1106,19724,17620,,37344,24210,19927,,44137,24,24,,24,5146,2793,0,7940,76167,60745,2,136912,,,,,,,,,,,,,,1728433,0,1909264,2,0,,0,,0,,,,,,,,1909264,2
23,ANDHRA PRADESH,Sri Sathya Sai,,0,590,0,590,0,763624,0,763624,105065,868689,0,43716,0,43716,8668,,0,8668,0,386,0,386,0,15462,0,15462,,10235,,10235,,46892,,46892,,,,,,,,,8668,116691,0,125359,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,8668,116691,0,125359,433,5835,0,6268,8234,110857,0,119091,,8914,,8914,,137,,137,,59351,,59351,,68401,,68401,,62,,57,0,12703,0,12703,8234,48320,0,56554,,,,,,,,,,,,,,1988549,0,2107640,0,0,,0,,0,,,,,,,,2107640,0
24,ANDHRA PRADESH,Srikakulam,,1122,1186,1215,1170,115520,325360,7510,448389,10898,459287,11610,25966,782,38358,13871,,80,13951,15259,14401,0,29660,1591,5623,0,7214,2244,6104,0,8348,1737,2410,,4147,,,,,,,,,46312,54503,862,101677,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,46312,54503,862,101677,2316,2726,43,5084,43996,51778,819,96593,1851,5070,0,6921,10,360,0,370,7457,20147,0,27604,9319,25576,0,34894,21,49,0,36,2276,6941,0,9217,34858,29758,819,64615,,,,,,,,,,,,,,0,0,95774,819,0,,0,,0,,,,,,,,95774,819
25,ANDHRA PRADESH,Tirupati,,1156,1059,1213,1066,53098,708836,597,762531,60409,822940,5378,76914,115,82408,541,,0,541,198,23414,0,23612,922,16484,0,17406,1557,13818,9083,24458,1969,19755,0,21724,,,,,,,,,10565,150387,9198,170150,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,10565,150387,9198,170150,528,7520,460,8508,10037,142867,8738,161642,174,3643,0,3817,182,1334,0,1515,3617,46734,0,50352,3973,51711,0,55684,40,36,0,36,465,9842,0,10307,5948,91329,8738,97278,,,,,,,,,,,,,,3670550,4430,3823454,13168,0,,0,,0,,,,,,,,3823454,13168
26,ANDHRA PRADESH,Visakhapatnam,,0,1141,0,1141,0,100167,0,100167,0,100167,0,7347,0,7347,,,,,0,3527,0,3527,0,736,0,736,0,471,0,471,0,992,0,992,,,,,,,,,0,13072,0,13072,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,13072,0,13072,0,654,0,654,0,12419,0,12419,,2494,,2494,,58,,58,,2893,,2893,,5446,,5446,,44,,44,0,4155,0,4155,0,6033,0,6033,,,,,,,,,,,,,,748566,0,760985,0,0,,0,,0,,,,,,,,760985,0
27,ANDHRA PRADESH,Vizianagaram,,1091,1117,0,1110,114340,286839,0,401179,11741,412920,7443,19691,0,27134,6447,,50,6497,15241,11208,0,26449,2952,5427,0,8379,41094,16787,0,57882,3038,14195,,17233,,,,,,,,,76215,67308,50,143573,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,76215,67308,50,143573,3811,3366,3,7179,72404,63942,48,136394,517,1357,,1874,75,40,,115,11132,24058,,35190,11724,25455,,37179,16,40,,27,517,1357,0,1874,61485,39981,48,101466,,,,,,,,,,,,,,2008522,0,2144868,48,0,,0,,0,,,,,,,,2144868,48
28,ANDHRA PRADESH,West Godavari,,1139,964,1126,1117,52492,16579,158766,227837,0,227837,8958,2535,27764,39257,2371,,2651,5023,36689,169,56325,93184,593,168,0,761,0,269,0,269,66,15,462,543,,,,,,,,,48678,3157,87203,139037,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,48678,3157,87203,139037,2434,158,4360,6952,46244,2999,82842,132085,781,256,0,1038,71,3,80,154,2788,982,321,4091,3640,1241,401,5282,8,41,0,10,899,295,0,1195,42485,1719,82441,44204,,,,,,,,,,,,,,0,0,49243,82842,0,,0,,0,,,,,,,,49243,82842
29,ANDHRA PRADESH,Y.S.R Kadapa,,680,696,0,685,582868,297940,0,880808,241810,1122618,36551,18366,0,54917,15935,,,15935,5133,250,0,5383,5307,3120,0,8427,2348,423,0,2771,13883,6335,,20218,,,,,,,,,79157,28494,0,107651,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,79157,28494,0,107651,3958,1425,0,5383,75199,27069,0,102268,5407,2728,,8135,372,56,,428,19096,11132,,30228,24875,13916,,38791,33,51,,38,5407,2728,0,8135,50647,13825,0,64473,,,,,,,,,,,,,,7656816,0,7759084,0,0,,0,,0,,,,,,,,7759084,0
30,ARUNACHAL PRADESH,ANJAW,,0,0,0,0,0,0,0,0,619000,619000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
